Date,Close,High,Low,Open,Volume,ticker
2026-05-14,112.0999984741211,114.9000015258789,112.0,113.69999694824219,1389477,ARCLK.IS
2026-05-15,110.9000015258789,112.0,110.0999984741211,112.0,1613981,ARCLK.IS
2026-05-18,107.30000305175781,110.9000015258789,107.30000305175781,110.5999984741211,2030590,ARCLK.IS
2026-05-20,107.69999694824219,108.5,106.5999984741211,107.5,1204969,ARCLK.IS
2026-05-21,102.0,107.9000015258789,102.0,107.69999694824219,2332471,ARCLK.IS
2026-05-22,104.0999984741211,105.4000015258789,100.4000015258789,101.80000305175781,4527015,ARCLK.IS
2026-05-25,105.0,105.5999984741211,103.5,104.0999984741211,2430071,ARCLK.IS
2026-05-26,103.69999694824219,105.4000015258789,103.69999694824219,105.0,903766,ARCLK.IS
2026-04-29,425.5,434.25,415.5,415.5,38292607,ASELS.IS
2026-04-30,420.25,431.0,418.25,427.25,27047316,ASELS.IS
2026-05-04,431.75,443.5,421.5,422.0,35686201,ASELS.IS
2026-05-05,427.25,434.5,424.25,432.75,15706669,ASELS.IS
2026-05-06,434.0,450.0,429.5,430.75,30033225,ASELS.IS
2026-05-07,428.0,437.0,423.0,437.0,17211142,ASELS.IS
2026-05-08,428.5,434.5,426.25,431.0,17958234,ASELS.IS
2026-05-11,431.75,438.75,425.0,430.0,21073942,ASELS.IS
2026-05-12,419.25,433.25,419.25,433.0,13835481,ASELS.IS
2026-05-13,412.75,423.5,410.75,420.0,13698866,ASELS.IS
2026-05-14,415.5,421.0,413.75,414.75,10379851,ASELS.IS
2026-05-15,415.0,419.0,410.5,415.5,15045515,ASELS.IS
2026-05-18,402.0,419.0,402.0,416.75,14506796,ASELS.IS
2026-05-20,393.5,403.25,389.25,402.0,21017807,ASELS.IS
2026-05-21,377.75,409.25,377.75,397.75,20097708,ASELS.IS
2026-05-22,410.0,412.0,370.5,370.5,28455776,ASELS.IS
2026-05-25,401.75,413.0,396.0,411.25,15337705,ASELS.IS
2026-05-26,380.25,401.75,380.25,399.75,23629428,ASELS.IS
2026-04-29,363.5,369.5,360.75,366.25,5912010,BIMAS.IS
2026-04-30,370.75,371.75,360.25,361.5,10873618,BIMAS.IS
2026-05-01,370.75,370.75,370.75,370.75,0,BIMAS.IS
2026-05-04,365.0,372.75,362.75,372.0,8468556,BIMAS.IS
2026-05-05,373.5,375.5,364.25,365.5,7269616,BIMAS.IS
2026-05-06,390.5,392.5,377.5,378.0,15160486,BIMAS.IS
2026-05-07,392.0,395.0,389.25,391.0,6647390,BIMAS.IS
2026-05-08,395.0,401.25,388.5,393.0,7895122,BIMAS.IS
2026-05-11,387.25,396.0,385.75,395.5,8914592,BIMAS.IS
2026-05-12,390.5,405.75,387.75,402.5,14140928,BIMAS.IS
2026-05-13,406.5,407.25,393.25,393.25,15626826,BIMAS.IS
2026-05-14,414.0,425.0,409.25,411.5,8115738,BIMAS.IS
2026-05-15,405.25,413.0,398.0,413.0,6634672,BIMAS.IS
2026-05-18,392.5,403.0,388.0,402.75,8402236,BIMAS.IS
2026-05-20,392.75,399.25,385.5,391.0,10839321,BIMAS.IS
2026-05-21,376.5,399.75,375.0,392.75,8847731,BIMAS.IS
2026-05-22,392.75,395.5,372.0,372.5,12459095,BIMAS.IS
2026-05-25,378.75,397.5,375.75,393.0,10897046,BIMAS.IS
2026-05-26,373.0,380.75,371.75,380.0,6394478,BIMAS.IS
2026-04-29,73.43348693847656,75.15496851269708,73.04000393478478,74.3680025053135,3080551,CCOLA.IS
2026-04-30,73.77777862548828,74.61392528223107,70.67911042220503,73.63022156722455,4072854,CCOLA.IS
2026-05-04,75.5976333618164,75.74519042859924,72.9416361799821,73.97452063733358,5525151,CCOLA.IS
2026-05-05,78.54874420166016,79.28652202604343,77.02400786763987,78.64711307723177,11804839,CCOLA.IS
2026-05-06,83.4672622680664,85.48385797164315,79.38489017610864,79.72919249505887,15581812,CCOLA.IS
2026-05-07,84.00830078125,86.0740771313906,82.87703998079608,83.46726072296998,13349984,CCOLA.IS
2026-05-08,85.23793029785156,85.87733922780774,82.72948276689422,84.10666949947739,7950656,CCOLA.IS
2026-05-11,86.31999969482422,87.74636705812635,84.54933003239212,85.63141010669153,8102984,CCOLA.IS
2026-05-12,85.5,87.9000015258789,84.5,87.69999694824219,7184478,CCOLA.IS
2026-05-13,83.44999694824219,85.3499984741211,81.8499984741211,84.9000015258789,9016517,CCOLA.IS
2026-05-14,83.0,83.9000015258789,81.30000305175781,83.5,5227644,CCOLA.IS
2026-05-15,82.94999694824219,82.94999694824219,80.19999694824219,82.8499984741211,4299488,CCOLA.IS
2026-05-18,81.1500015258789,84.25,80.9000015258789,81.5999984741211,6270614,CCOLA.IS
2026-05-20,81.75,82.75,79.5999984741211,82.55000305175781,5248227,CCOLA.IS
2026-05-21,79.80000305175781,82.3499984741211,78.25,82.3499984741211,3904533,CCOLA.IS
2026-05-22,80.75,82.19999694824219,76.5,76.5,10931878,CCOLA.IS
2026-05-25,80.80000305175781,82.1500015258789,79.94999694824219,80.80000305175781,3038668,CCOLA.IS
2026-05-26,80.05000305175781,81.30000305175781,79.69999694824219,80.80000305175781,1131634,CCOLA.IS
2026-04-29,22.559999465942383,23.0,22.34000015258789,22.68000030517578,8706364,DOHOL.IS
2026-04-30,22.739999771118164,23.15999984741211,21.739999771118164,22.34000015258789,20278125,DOHOL.IS
2026-05-04,23.420000076293945,23.459999084472656,22.799999237060547,22.920000076293945,8972564,DOHOL.IS
2026-05-05,23.520000457763672,23.540000915527344,23.1200008392334,23.420000076293945,7194596,DOHOL.IS
2026-05-06,24.639999389648438,24.760000228881836,23.18000030517578,23.65999984741211,22289310,DOHOL.IS
2026-05-07,24.479999542236328,24.940000534057617,24.399999618530273,24.639999389648438,14322334,DOHOL.IS
2026-05-08,24.5,24.8799991607666,24.31999969482422,24.360000610351562,8775545,DOHOL.IS
2026-05-11,24.5,25.1200008392334,24.1200008392334,24.479999542236328,11143690,DOHOL.IS
2026-05-12,24.260000228881836,24.84000015258789,24.219999313354492,24.479999542236328,5272457,DOHOL.IS
2026-05-13,24.520000457763672,25.239999771118164,24.31999969482422,24.31999969482422,15881373,DOHOL.IS
2026-05-14,23.399999618530273,24.600000381469727,23.239999771118164,24.459999084472656,17525015,DOHOL.IS
2026-05-15,23.18000030517578,23.299999237060547,22.84000015258789,23.239999771118164,8073897,DOHOL.IS
2026-05-18,22.600000381469727,23.100000381469727,22.559999465942383,22.920000076293945,6737198,DOHOL.IS
2026-05-20,23.440000534057617,23.520000457763672,22.459999084472656,22.459999084472656,10564951,DOHOL.IS
2026-05-21,21.540000915527344,23.719999313354492,21.540000915527344,23.3799991607666,5112370,DOHOL.IS
2026-05-22,23.540000915527344,23.6200008392334,21.0,21.0,14848178,DOHOL.IS
2026-05-25,22.899999618530273,23.719999313354492,22.700000762939453,23.540000915527344,6968102,DOHOL.IS
2026-05-26,23.520000457763672,23.520000457763672,22.600000381469727,22.899999618530273,2967461,DOHOL.IS
2026-04-29,20.18000030517578,21.0,20.059999465942383,20.760000228881836,103039751,EKGYO.IS
2026-04-30,20.579999923706055,20.579999923706055,19.770000457763672,19.979999542236328,107389060,EKGYO.IS
2026-05-04,19.770000457763672,20.739999771118164,19.540000915527344,20.6200008392334,150138716,EKGYO.IS
2026-05-05,20.260000228881836,20.420000076293945,19.799999237060547,19.799999237060547,113208633,EKGYO.IS
2026-05-06,21.219999313354492,21.479999542236328,20.579999923706055,20.739999771118164,152788722,EKGYO.IS
2026-05-07,21.700000762939453,22.0,21.200000762939453,21.31999969482422,117164002,EKGYO.IS
2026-05-08,22.0,22.15999984741211,21.34000015258789,21.579999923706055,104281791,EKGYO.IS
2026-05-11,22.239999771118164,22.639999389648438,21.899999618530273,22.0,120038123,EKGYO.IS
2026-05-12,20.639999389648438,21.719999313354492,20.639999389648438,21.719999313354492,157498954,EKGYO.IS
2026-05-13,20.020000457763672,20.899999618530273,20.020000457763672,20.799999237060547,95261375,EKGYO.IS
2026-05-14,20.360000610351562,20.639999389648438,20.15999984741211,20.15999984741211,101866603,EKGYO.IS
2026-05-15,20.31999969482422,20.440000534057617,19.959999084472656,19.979999542236328,81796250,EKGYO.IS
2026-05-18,19.860000610351562,20.219999313354492,19.850000381469727,20.139999389648438,83958086,EKGYO.IS
2026-05-20,19.84000015258789,20.040000915527344,19.610000610351562,19.6200008392334,90573844,EKGYO.IS
2026-05-21,18.40999984741211,19.989999771118164,18.40999984741211,19.739999771118164,135433112,EKGYO.IS
2026-05-22,19.290000915527344,19.540000915527344,18.030000686645508,18.030000686645508,196670431,EKGYO.IS
2026-05-25,19.579999923706055,19.969999313354492,19.31999969482422,19.389999389648438,115497698,EKGYO.IS
2026-05-26,19.100000381469727,19.670000076293945,19.100000381469727,19.579999923706055,39150674,EKGYO.IS
2026-04-29,33.720001220703125,34.31999969482422,33.2400016784668,33.2400016784668,266432560,EREGL.IS
2026-04-30,35.119998931884766,35.939998626708984,33.63999938964844,33.63999938964844,223929844,EREGL.IS
2026-05-04,35.81999969482422,36.08000183105469,34.400001525878906,35.36000061035156,221760604,EREGL.IS
2026-05-05,37.220001220703125,37.959999084472656,35.900001525878906,35.959999084472656,235340867,EREGL.IS
2026-05-06,37.68000030517578,38.63999938964844,36.939998626708984,37.79999923706055,306892394,EREGL.IS
2026-05-07,38.47999954223633,39.02000045776367,37.959999084472656,38.0,156241673,EREGL.IS
2026-05-08,41.2599983215332,41.29999923706055,38.29999923706055,38.41999816894531,270521370,EREGL.IS
2026-05-11,40.86000061035156,43.720001220703125,40.58000183105469,41.79999923706055,335272807,EREGL.IS
2026-05-12,40.08000183105469,41.400001525878906,40.0,40.900001525878906,229566550,EREGL.IS
2026-05-13,40.5,40.900001525878906,39.439998626708984,40.5,183857127,EREGL.IS
2026-05-14,39.7400016784668,41.099998474121094,39.29999923706055,40.880001068115234,134596775,EREGL.IS
2026-05-15,39.619998931884766,39.86000061035156,39.040000915527344,39.47999954223633,152182700,EREGL.IS
2026-05-18,38.540000915527344,39.65999984741211,38.220001220703125,39.439998626708984,135047714,EREGL.IS
2026-05-20,38.63999938964844,39.20000076293945,37.939998626708984,38.459999084472656,85624045,EREGL.IS
2026-05-21,35.18000030517578,38.720001220703125,35.02000045776367,38.63999938964844,123679155,EREGL.IS
2026-05-22,38.68000030517578,38.68000030517578,35.47999954223633,36.0,210744663,EREGL.IS
2026-05-25,39.47999954223633,40.70000076293945,38.900001525878906,39.119998931884766,187516071,EREGL.IS
2026-05-26,39.18000030517578,39.880001068115234,39.18000030517578,39.7400016784668,41626869,EREGL.IS
2026-04-29,98.05000305175781,100.5,98.05000305175781,99.5999984741211,14001184,FROTO.IS
2026-04-30,98.0,99.25,97.5,98.0999984741211,15950299,FROTO.IS
2026-05-04,96.0,98.94999694824219,95.8499984741211,98.55000305175781,17224809,FROTO.IS
2026-05-05,98.05000305175781,98.55000305175781,95.6500015258789,96.05000305175781,21241367,FROTO.IS
2026-05-06,99.0,99.80000305175781,97.44999694824219,99.0,40692044,FROTO.IS
2026-05-07,98.9000015258789,99.9000015258789,98.5999984741211,99.4000015258789,24442411,FROTO.IS
2026-05-08,97.5,98.94999694824219,97.0999984741211,98.9000015258789,27707789,FROTO.IS
2026-05-11,97.0,98.0,96.30000305175781,97.5,27754998,FROTO.IS
2026-05-12,94.0999984741211,97.30000305175781,94.0,97.0,19341242,FROTO.IS
2026-05-13,93.44999694824219,94.30000305175781,91.05000305175781,94.1500015258789,31411999,FROTO.IS
2026-05-14,93.44999694824219,94.9000015258789,92.80000305175781,93.55000305175781,17732807,FROTO.IS
2026-05-15,91.44999694824219,92.8499984741211,90.75,92.80000305175781,19519846,FROTO.IS
2026-05-18,87.3499984741211,91.3499984741211,87.3499984741211,91.3499984741211,40638833,FROTO.IS
2026-05-20,86.6500015258789,87.3499984741211,85.44999694824219,87.3499984741211,41170289,FROTO.IS
2026-05-21,82.3499984741211,87.05000305175781,82.3499984741211,86.6500015258789,35428002,FROTO.IS
2026-05-22,86.8499984741211,87.6500015258789,81.6500015258789,82.3499984741211,38740356,FROTO.IS
2026-05-25,87.5999984741211,87.80000305175781,86.30000305175781,87.3499984741211,26997836,FROTO.IS
2026-05-26,84.1500015258789,87.69999694824219,84.1500015258789,87.4000015258789,59931400,FROTO.IS
2026-04-29,132.6999969482422,136.39999389648438,132.3000030517578,135.8000030517578,24681843,GARAN.IS
2026-04-30,133.8000030517578,134.8000030517578,131.0,132.0,27400523,GARAN.IS
2026-05-04,129.60000610351562,134.89999389648438,128.89999389648438,134.1999969482422,30032824,GARAN.IS
2026-05-05,129.39999389648438,130.8000030517578,128.3000030517578,129.60000610351562,23142970,GARAN.IS
2026-05-06,136.60000610351562,137.5,130.89999389648438,131.8000030517578,74603470,GARAN.IS
2026-05-07,137.60000610351562,139.0,136.60000610351562,138.0,47414602,GARAN.IS
2026-05-08,137.3000030517578,138.1999969482422,134.8000030517578,136.6999969482422,34280123,GARAN.IS
2026-05-11,138.1999969482422,138.60000610351562,136.10000610351562,136.60000610351562,38541286,GARAN.IS
2026-05-12,133.39999389648438,138.3000030517578,133.3000030517578,137.6999969482422,28038200,GARAN.IS
2026-05-13,131.5,134.60000610351562,130.6999969482422,134.1999969482422,28761121,GARAN.IS
2026-05-14,133.6999969482422,134.1999969482422,131.0,132.10000610351562,24762552,GARAN.IS
2026-05-15,129.8000030517578,131.6999969482422,129.0,131.5,26965070,GARAN.IS
2026-05-18,129.3000030517578,130.6999969482422,126.5999984741211,128.6999969482422,26936943,GARAN.IS
2026-05-20,129.8000030517578,131.10000610351562,127.5999984741211,128.8000030517578,24242460,GARAN.IS
2026-05-21,120.0,130.3000030517578,120.0,129.0,27281106,GARAN.IS
2026-05-22,122.30000305175781,123.5,116.9000015258789,120.5,59917827,GARAN.IS
2026-05-25,125.19999694824219,125.5999984741211,121.69999694824219,123.0,38385587,GARAN.IS
2026-05-26,122.9000015258789,125.9000015258789,122.9000015258789,125.0999984741211,10332222,GARAN.IS
2026-04-29,37.5,38.7400016784668,37.2599983215332,38.58000183105469,39706708,HALKB.IS
2026-04-30,37.84000015258789,38.040000915527344,36.959999084472656,37.2599983215332,33117799,HALKB.IS
2026-05-04,36.47999954223633,38.20000076293945,36.400001525878906,38.02000045776367,31561744,HALKB.IS
